Altium Designer Pick and Place Locations
D:\Applications\hardware\pca10056\trunk\production_files\400236_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       24.05.24
Time:       08.31
Revision:   27885
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R93","1k","TopLayer","RESC0603X03L_C","36.8300","14.7574","90","Resistor, ±1%, 0.05W"
"U12","XC9148","TopLayer","USP-6C","12.8750","25.5000","270","1.4A Driver Transistor Built-In, Multi Functional Step-Up DC/DC Converter"
"L80","4.7µH","TopLayer","VLS3012HBX","9.2000","24.4000","270","4.7µH Shielded Wirewound Inductor 2.23A 201 mOhm Max Nonstandard"
"C82","10µF","TopLayer","CAPC1608X06L","14.7250","24.8250","270","Capacitor, X5R, ±20%, 25V"
"C80","10µF","TopLayer","CAPC1608X06L","9.6750","26.8750","180","Capacitor, X5R, ±20%, 25V"
"SB18","Solderbridge","TopLayer","Solderbridge","108.8390","19.2278","0","Solderbridge"
"R3","10k","TopLayer","RESC0603X03L_C","105.4354","53.3146","180","Resistor, ±1%, 0.05W"
"R4","10k","TopLayer","RESC0603X03L_C","78.7908","43.6880","90","Resistor, ±1%, 0.05W"
"TP22","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","107.7722","48.3108","0","1.0mm circular SMD testpad"
"TP23","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","77.2160","43.1800","0","1.0mm circular SMD testpad"
"TP20","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","103.3780","19.3040","0","1.0mm circular SMD testpad"
"TP21","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","103.3780","21.2090","0","1.0mm circular SMD testpad"
"TP32","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","21.5900","29.2100","0","1.0mm circular SMD testpad"
"TP24","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","10.7950","45.8470","0","1.0mm circular SMD testpad"
"TP34","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","28.7020","17.7800","0","1.0mm circular SMD testpad"
"TP25","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","10.7950","48.3870","0","1.0mm circular SMD testpad"
"TP33","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","31.4960","37.3380","0","1.0mm circular SMD testpad"
"TP26","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","14.1750","16.4750","0","1.0mm circular SMD testpad"
"TP38","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","86.3600","15.2400","0","1.0mm circular SMD testpad"
"TP27","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","11.7500","16.4750","0","1.0mm circular SMD testpad"
"TP37","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","71.7550","15.2400","0","1.0mm circular SMD testpad"
"TP36","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","69.2150","38.1000","0","1.0mm circular SMD testpad"
"TP29","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","22.3520","16.3830","0","1.0mm circular SMD testpad"
"TP15","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","91.3892","16.1290","0","1.5mm circular SMD testpad"
"TP16","Ø1.5mm,SMD","TopLayer","TP_SMD_D1.5mm","97.1042","16.1290","0","1.5mm circular SMD testpad"
"SB59","Solderbridge","TopLayer","Solderbridge","74.9300","41.2750","180","Solderbridge"
"TP42","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","95.8850","25.7810","0","1.0mm circular SMD testpad"
"TP43","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","95.8850","27.6860","0","1.0mm circular SMD testpad"
"TP44","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","97.7900","25.7810","0","1.0mm circular SMD testpad"
"TP45","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","97.7900","27.6860","0","1.0mm circular SMD testpad"
"TP46","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","99.6950","25.7810","0","1.0mm circular SMD testpad"
"TP47","Ø1.0mm,SMD","TopLayer","TP_SMD_D1.0mm","99.6950","27.6860","0","1.0mm circular SMD testpad"
"C4","0.5pF","TopLayer","CAPC1005X04L","122.5701","38.9382","270","Capacitor, C0G, ±0.05pF, 50V"
"C10","N.C.","TopLayer","CAPC1005X04L_NC","120.9191","40.1574","90","Not mounted"
"L1","4.7nH","TopLayer","INDC1005X04L","121.1376","38.3848","0","Inductor, 700mA, ±0.1nH, 160mR LQG"
"C3","0.8pF","TopLayer","CAPC1005X04L","119.7152","38.8928","270","Capacitor, NP0, ±5%"
"C22","N.C.","TopLayer","CAPC1005X04L_NC","125.4226","38.9348","90","Not mounted"
"C11","100pF","TopLayer","CAPC1005X04L","120.6636","41.5424","0","Capacitor, NP0, ±5%"
